t/7b1be4|Keep your arm still|pencil, gouache, book page|circa 1982
t/cc9eda|An essay on the shaking palsy|Ink on paper|2011
t/8b5b08|In my heart's core|Ballpoint pen ink on London A-Z page|2007
t/d09088|Heatstroke|Acrylic on paper (90 x 120 cm)|1981
t/f0cf77|HEAD/eye|Drawing on litho stone, ink, crayon, gum, tusche|2014
t/bd34da|New born|Blue pencil, ink, emulsion paint on book page|2014
t/f01802|last few (hand)|Ink, coloured pencil, found paper|2008
t/cd0cb9|Anatomy|Ink on book page|2007
t/01c782|Covid Lungs|Ink, wash and collage on board|2024
t/a633fb|Massive body|Pen and ink on book page|2009
t/a1d8ac|Spiegel|Coloured pencil, graphite, gouache on book page|1982
t/949d1e|Infant|Ink on Japanese paper|2008
t/57a401|This resolution|Pencil and wash on found book page|1983
t/b2c746|Body with dark marks|Ink, watercolour and pencil on book page|2009
t/b59739|Hand internals|Ink and wash on book page|2007
t/a631d9|Upper torso|Ink on book page|2009
t/790c3c|Goodbye twenty ten|Ink wash|2010
t/4a1c53|Body with dark marks|Ink and wash|2008
t/78e55d|The origin of cubism|Inks and wash on book page|2024
t/0707b3|My heart's core|Ink and wash on book page|2024
t/54a759|Facial Shingles|Ink and coloured pencil on book page|2024
t/6dee59|Breathing difficulty (COVID )|Ink, wash and collage on board|2020
