f/4353367012|Keep your arm still|pencil, gouache, book page|circa 1982
f/5482782426|An essay on the shaking palsy|Ink on paper|2011
f/1535859464|In my heart's core|Ballpoint pen ink on London A-Z page|2007
f/5231382664|Heatstroke|Acrylic on paper (90 x 120 cm)|1981
f/13504663415|HEAD/eye|Drawing on litho stone, ink, crayon, gum, tusche|2014
f/14944122074|New born|Blue pencil, ink, emulsion paint on book page|2014
f/3706722306|last few (hand)|Ink, coloured pencil, found paper|2008
f/3368881337|Anatomy|Ink on book page|2007
f/3316003835|Massive body|Pen and ink on book page|2009
f/4372682924|Spiegel|Coloured pencil, graphite, gouache on book page|1982
f/3549732126|Infant|Ink on Japanese paper|2008
f/3344409601|This resolution|Pencil and wash on found book page|1983
f/3316827974|Body with dark marks|Ink, watercolour and pencil on book page|2009
f/4021655353|Hand internals|Ink and wash on book page|2007
f/3316003289|Upper torso|Ink on book page|2009
f/5309533244|Goodbye twenty ten|Ink wash|2010
f/3360300115|Body with dark marks|Ink and wash|2008
t/78e55d|The origin of cubism|Inks and wash on book page|2024
t/0707b3|My heart's core|Ink and wash on book page|2024
t/54a759|Facial Shingles|Ink and coloured pencil on book page|2024
