t/e0bccc|Mersea Island|Coloured ink on map
t/e1b7a3|Dunes at Camber Sands, East Sussex|Ink and wash, June 2008
t/0a5f25|Burnham Overy Staithe, Norfolk|Ink and wash, moleskine notebook, August 2009
t/eba64f|Pebbles|Ink on book page
t/157b67|Brancaster Beach, Norfolk|Gouache on book page
t/c9001d|Jetty, West Mersea, Essex|Ink and wash, October 2007
t/0a5a63|Burnham Overy Staithe, Norfolk|Ink and wash, moleskine notebook, August 2009
t/d57518|Cornish Sea &amp; Cliffs|Woodcut, 1986
t/c8fdd3|East Mersea, Essex|Ink wash, watercolour paper, 2007
t/2d6fe3|Porthcurno Beach, Cornwall|Ink and wash on handmade paper, September 2008
t/3f5765|Sky, Atlantic Ocean, Trees|Watercolour on handmade paper
t/c8f737|East Mersea Beach, Essex|Ink wash, October 2007
t/c8f975|Salt marsh, East Mersea, Essex|Ink wash on watercolour paper (collection of P Ankers)
t/9fe5a5|Evening at Morston Quay, Norfolk|Pen, ink wash on book page, 2014
t/ed86fe|Beach huts, Wells next the Sea, Norfolk|Ink and wash, moleskine notebook, 2010
t/3a30f4|Porthcurno Beach, Cornwall|Ink and wash on handmade paper, September 2008
t/da08b3|Mousehole Harbour, Cornwall|Ink wash, watercolour paper, August 2007
t/2d7861|Porthcurno Beach, Cornwall|Ink and wash on handmade paper, September 2008
t/c740ae|Burnham Overy Staithe, Norfolk|Ink and wash on handmade paper, July 2012
t/c8feed|Beach Huts, Mersea Island, Essex|Ink wash, October 2007
t/d56d9a|West Mersea, Essex|Ink wash on watercolour paper, October 2007
t/7ebf3e|Evening at Morston Quay, Norfolk|Pen and ink wash on book page, 2014
t/579cd1|Burnham Overy Staithe, Norfolk|Ink and wash on moleskine notebook, 2013
t/52ef93|Blakeney Quay, Norfolk|Ink and wash on moleskine notebook, 2010
t/3a2ce6|Porthcurno Beach, Cornwall|Ink and wash on handmade paper, September 2008
t/d33253|Low tide at Brancaster Beach, Norfolk|Gouache on book page, 2009
t/d55e02|Tollesbury Marina, Essex|Ink on found paper, 2007
t/a41d22|Beach, Burnham Overy Staithe, Norfolk|Ink wash, handmade paper, 15x15 cm
t/1ac0b4|Looking inland, Brancaster Beach, Norfolk|Watercolour on vintage paper
t/e5904a|Porthgwidden Beach, St Ives, Cornwall|Ink, moleskine notebook, May 2007
t/c72662|Burnham Overy Staithe, Norfolk|Ink wash on handmade paper
t/e4d2e6|Tate St Ives from Porthmeor Beach, Cornwall|Ink, moleskine notebook, May 2007
t/d566f8|Boat at jetty, West Mersea, Essex|Ink wash on watercolour paper (collection of J Brown)
t/1186a5|Sand Dunes, Brancaster, Norfolk|Ink on book page, 2010
t/114d02|Seafront houses, Whitstable, Kent|Ink and wash on moleskine notebook, May 2010
t/c73480|Burnham Overy Staithe, Norfolk|Ink wash on handmade paper, 2012
t/d65535|Brancaster Golf Clubhouse|Gouache on book page
t/c8f28b|Tollesbury Marina, Essex|Ink, moleskine notebook, 2007
t/d5603a|Boatyard, West Mersea, Essex|Ink, moleskine notebook, 2007
t/342670|Dunes, Brancaster Beach, Norfolk|Gouache on book page, 2009
t/a845eb|Beach huts and pine trees, Wells next the Sea, Norfolk|Ink and watercolour, moleskine notebook, 2010
t/31592d|Dunes at Camber Sands, East Sussex|In and wash on handmade paper, 2008
t/eb814a|Wells-next-the-Sea, Norfolk|Watercolour, moleskine notebook, 2010
t/d56174|Boats, West Mersea, Essex|Ink, moleskine notebook, 2007
t/6750fb|Two playing on the beach, Norfolk|Ink wash, moleskine notebook, 2013
t/6f92ed|Evening at Morston Quay, Norfolk|Pen &amp; ink wash on book page, 2014
t/9feac3|Evening at Morston Quay, Norfolk|Pen &amp; ink wash on book page, 2014
t/043b1b|Tent at the beach, Norfolk|Ink wash on handmade paper, 2013
t/ba4441|Sea and Sky|Ink and collage on book page, 2011
t/047a62|Brancaster Beach, Norfolk|Gouache on book page, 2009
t/5d02fa|Brancaster Beach, Norfolk|Gouache on book page, 2009
t/7fe701|High tide at Wells Harbour, Norfolk|Charcoal pencil|2024
t/c3b286|Seals at Blackney Point, Norfolk|Ink and collage|2024
t/caeaa2|Blackney Cottages, Norfolk|Ink and wash|2024
t/f1e291|Boat at Blackney Quay, Norfolk|Ink and wash|2024
t/7e1513|Boats at Wells Harbour, Norfolk|Charcoal pencil|2024
t/eccfd1|Boats at Wells Harbour, Norfolk|Charcoal pencil|2024
