f/3370171596|Mersea Island|Coloured ink on map
f/3672225699|Dunes at Camber Sands, East Sussex|Ink and wash, June 2008
f/3876216613|Burnham Overy Staithe, Norfolk|Ink and wash, moleskine notebook, August 2009
f/4058752591|Pebbles|Ink on book page
f/3994385255|Brancaster Beach, Norfolk|Gouache on book page
f/3452502045|Jetty, West Mersea, Essex|Ink and wash, October 2007
f/3876215395|Burnham Overy Staithe, Norfolk|Ink and wash, moleskine notebook, August 2009
f/4459951384|Cornish Sea &amp; Cliffs|Woodcut, 1986
f/3452501459|East Mersea, Essex|Ink wash, watercolour paper, 2007
f/3240980451|Porthcurno Beach, Cornwall|Ink and wash on handmade paper, September 2008
f/12150855525|Sky, Atlantic Ocean, Trees|Watercolour on handmade paper
f/3452499767|East Mersea Beach, Essex|Ink wash, October 2007
f/3452500341|Salt marsh, East Mersea, Essex|Ink wash on watercolour paper (collection of P Ankers)
f/15311300005|Evening at Morston Quay, Norfolk|Pen, ink wash on book page, 2014
f/5015176958|Beach huts, Wells next the Sea, Norfolk|Ink and wash, moleskine notebook, 2010
f/3241816308|Porthcurno Beach, Cornwall|Ink and wash on handmade paper, September 2008
f/3923380403|Mousehole Harbour, Cornwall|Ink wash, watercolour paper, August 2007
f/3240982625|Porthcurno Beach, Cornwall|Ink and wash on handmade paper, September 2008
f/7680245934|Burnham Overy Staithe, Norfolk|Ink and wash on handmade paper, July 2012
f/3452501741|Beach Huts, Mersea Island, Essex|Ink wash, October 2007
f/3453316506|West Mersea, Essex|Ink wash on watercolour paper, October 2007
f/15124578110|Evening at Morston Quay, Norfolk|Pen and ink wash on book page, 2014
f/10004962513|Burnham Overy Staithe, Norfolk|Ink and wash on moleskine notebook, 2013
f/4971491219|Blakeney Quay, Norfolk|Ink and wash on moleskine notebook, 2010
f/3241815270|Porthcurno Beach, Cornwall|Ink and wash on handmade paper, September 2008
f/3990041171|Low tide at Brancaster Beach, Norfolk|Gouache on book page, 2009
f/3453312514|Tollesbury Marina, Essex|Ink on found paper, 2007
f/9590545698|Beach, Burnham Overy Staithe, Norfolk|Ink wash, handmade paper, 15x15 cm
f/4917477556|Looking inland, Brancaster Beach, Norfolk|Watercolour on vintage paper
f/3924136010|Porthgwidden Beach, St Ives, Cornwall|Ink, moleskine notebook, May 2007
f/7680239202|Burnham Overy Staithe, Norfolk|Ink wash on handmade paper
f/3924087526|Tate St Ives from Porthmeor Beach, Cornwall|Ink, moleskine notebook, May 2007
f/3453314808|Boat at jetty, West Mersea, Essex|Ink wash on watercolour paper (collection of J Brown)
f/4916872869|Sand Dunes, Brancaster, Norfolk|Ink on book page, 2010
f/4581313794|Seafront houses, Whitstable, Kent|Ink and wash on moleskine notebook, May 2010
f/7680242816|Burnham Overy Staithe, Norfolk|Ink wash on handmade paper, 2012
f/3990246709|Brancaster Golf Clubhouse|Gouache on book page
f/3452498571|Tollesbury Marina, Essex|Ink, moleskine notebook, 2007
f/3453313082|Boatyard, West Mersea, Essex|Ink, moleskine notebook, 2007
f/3996395120|Dunes, Brancaster Beach, Norfolk|Gouache on book page, 2009
f/4960306667|Beach huts and pine trees, Wells next the Sea, Norfolk|Ink and watercolour, moleskine notebook, 2010
f/3677444397|Dunes at Camber Sands, East Sussex|In and wash on handmade paper, 2008
f/4964712778|Wells-next-the-Sea, Norfolk|Watercolour, moleskine notebook, 2010
f/3453313396|Boats, West Mersea, Essex|Ink, moleskine notebook, 2007
f/9636892923|Two playing on the beach, Norfolk|Ink wash, moleskine notebook, 2013
f/15308133101|Evening at Morston Quay, Norfolk|Pen &amp; ink wash on book page, 2014
f/15311301315|Evening at Morston Quay, Norfolk|Pen &amp; ink wash on book page, 2014
f/9596844827|Tent at the beach, Norfolk|Ink wash on handmade paper, 2013
f/6588875841|Sea and Sky|Ink and collage on book page, 2011
t/047a62|Brancaster Beach, Norfolk|Gouache on book page, 2009
t/5d02fa|Brancaster Beach, Norfolk|Gouache on book page, 2009
t/7fe701|High tide at Wells Harbour, Norfolk|Charcoal pencil|2024
