d50ef5|Rail lines North of Wandsworth Road Station|Ink and wash on paper 9 x 14 cm||
887aa0|<i>Magnetic Fields</i> by Takis at the Tate Modern 2019|Ink on paper 14 x 20 cm||
baf316|Sissinghurst Castle Garden|Ink and wash on paper 9 x 14 cm||
4e494b|The Imperial War Museum, SE1|Ink and wash on paper 9 x 14 cm||
a4bd86|<i>Bagdad Car</i> by Jeremy Deller at the Imperial War Museum|Ink and wash on paper 9 x 14 cm||
3f9859|Design for bike light sculpture|Ink and wash on paper||
c77f95|Buckingham Palace, SW1A|Ink and wash on paper 9 x 14 cm||
81538c|Broadgate Exeter|Ink and wash on paper 9 x 14 cm||
8cdd46|Cadogan Pier, SW3|Ink and wash on paper 12 x 18 cm||
9a1275|Whitelands House, SW3|Ink and wash on paper 9 x 14 cm, 2020||
843e9c|Mind|Ink on paper 24 x 17 cm||
2c27ec|Leaving the Atocha Station|Ink and wash on paper 20 x 15 cm<br>I drew this when reading Ben Lerner's novel to give me a book cover. I was reading a digital version||
1030d6|<i>Melancholia</i> by Caius Gabriel Cibber, Portland stone c. 1676, Museum of the Mind|Ink on paper||
d55a30|Salt Quay Rotherhithe, SE16|Ink and wash on paper, 9 x 14 cm||
eab8cb|Baby, 27 April 2018|Thermal receipt print, 60mm x 90m|mp4|
89c4ed|Sicily|Ink on book page||
1986d6|St Ives, Cornwall|Ink and wash on paper, 9 x 14 cm||
403574|Whitstable seafront houses, Kent|Ink and wash on paper, 9 x 14 cm||
6ea119|Beach with groynes, Whistable, Kent|Ink and wash on paper, 9 x 14 cm||
ebc1dd|Figures on the beach, St Ives, Cornwall|Ink and wash on paper, 9 x 14 cm||
feddaf|St Ives Harbour, Cornwall |Ink and wash on paper, 9 x 14 cm||
31fdba|Robot Head|Ink on watercolour paper||
79e69a|Wax Plugs|Wax, plastic, elctric flex, wood||
f14340|Bulldozer, Cley Beach, Norfolk|Pen and brush||
a0d9ef|Polignano a Mare, Puglia|Ink on paper, 9 x 14 cm||
d3108b|Ostuni, Puglia|Ink and watercolour, 2018||
622cea|Ostuni, Puglia|Ink and watercolour, 2018||
b0b2cf|Ostuni, Puglia|Ink on paper, 9 x 14 cm, 2018||
8db55f|Puglian road trip|Ink on map, 2018||
85e25e|Sphere with Inner Form, Barbara Hepworth 1963|Ink and wash on paper||
62df5a|Truchet tiling device|Liquid crystal display, Arduino board, code|mp4|
be35f0|Norfolk|Ink on map||
9cdb54|Untitled Form|Digital image 500 x 500 px, 2018||
e4781a|Yellow dress|Graphite and watercolour on book page||
31e397|Pink dress|Graphite and watercolour on book page||
191d65|The Master Builder|Graphite on book page||
3b8526|Bridge over The Thames at Oxford|Coloured inks on book page, 1983||
4441b3|Blue and yellow tree|Watercolour on book page||
9d55da|Chairs|Watercolour on book page||
b436ff|Sixty-Six (A)|Gouache, ink and coloured pencil on book page||
4a977e|Sixty-Six (B)|Gouache, ink and coloured pencil on book page||
bf277a|Blue redaction|Ink on book page||
73115b|Boot|Ink and gouache on book page||
04c062|Red man|Coloured pencil, 1983||
4313cb|David Bomberg (1890 - 1957) 66 years|Black crayon and watercolour on book page, 1983||
934ca7|Penny|Oil pastel on book page, 1983||
5e7f40|Porcelain Sunflower Seeds, Tate Modern 2010|Ink and coloured pencil on book page<br>Based on Ai Weiwei's Turbine Hall installation||
d48994|La B&ecirc;te di G&eacute;vaudan after Auguste Forestier|Charcoal, ink and coloured pencil on book page, 2025||
aa4ddf|Redaction of the opening page of Unleashed, Boris Johnson's biography|Ink on book page||
fd28b9|Binham Priory, Norfolk|Ink and wash on paper, 9 x 14 cm, 2025||
dc6c80|Boat in Blakeney harbour, Norfolk|Ink and wash on paper, 9 x 14 cm||
47d1c4|Reading difficulty|Book page fragments, ink and coloured pencil on board, 2019||
f94e10|Two labradors|Gouache and graphite||
9b3510|Error, counting time device reacts to overflow |Arduino, LED display, paint and pencil on wood suppport
3e84eb|Blakeney Hotel and Quay|Graphite||
016b12|An inner pocket|Gouache, graphite and coloured pencil on book page||
30087d|Judengasse, Bad Buchau|Drawing based on page 20, The J Street Project, Susan Hiller||
84b107|Judengasse, Aachen|Drawing based on page 1, The J Street Project, Susan Hiller||
b86f5f|Judenweg, Frauenau|Drawing based on page 83, The J Street Project, Susan Hiller||
d6515a|Judengasse, Frankenwinheim|Drawing based on page 82, The J Street Project, Susan Hiller||
ee6508|Ada Lovelace (1815 - 1852) 36 years|Ink wash and graphite on handmade paper|||
017aeb|Mousehole Harbour|Ink and wash on watercolour paper, 2007||
0f0b67|Clapham and Brixton|Ink and wash on London A - Z page||
32255c|The Serpentine|Coloured ink on London A - Z page||
43e863|Stoneleigh Nonsuch|Ink on London A - Z page||
035b59|Starwars Characters|Pencil by I when aged ten||
25af70|Venice|Ink, paint, graphite and coloured pencil on map||
9fa4c3|Hedgehog Pincushion|Felt, thread, kapok and pins by A when aged nine||
8c3f7e|Eleonora Duse (1858 - 1924) 65 years|Ink, wash and pencil on handmade paper||
625a6a|Head|Ink and coloured pencil on book page||
72a67e|Lung|Ink and collage on book page||
003c03|Morris Ten Four|Ink and wash on book page||
00952a|Durrington Tower, Clapham|Ink on paper, 9 x 14 cm||
009690|Amesbury Tower, Clapham|Pen on paper, 9 x 14 cm, 2008||
00a82f|October starts grey|gouache and watercolour on book page||
01c782|Covid Lungs|Ink, wash and collage on board||
02e7b8|Secret passion ways, St Ives|Ink, wash, coloured pencil on book page||
02e9a3|FINE PRINTS|Ink on book page||
02eca6|-|Ink and wash on paper, 9 x 14 cm||
034b2b|Ganesha with mandalas (.:@ o)|Mixed media on board, 2003<br>From the collection of B Sukumaran||
0379b2|Chelsea|Ink and wash on paper, 9 x 14 cm, 2010||
037a60|Ingate Place, Battersea, SW8|Ink and wash on paper, 9 x 14 cm, 2010||
03b632|Stain/trees/figure|Ink and wash on paper, 9 x 14 cm||
03c8ee|Above the Tiber valley|Ink wash on handmade paper, 2010||
043b1b|Tent at the beach, Norfolk|Ink wash on handmade paper, 2013||
04539c|East Wall Windows of the Turbine Hall, Tate Modern London|Ink, paint, collage on board||
047a62|Brancaster Beach, Norfolk|Gouache on book page, 2009||
048dbe|Joseph Conrad (d)|Pen and ink wash on handmade paper, 15 x 15 cm||
048ddb|Body with dog|By A when aged 10, April 2009||
05a1f3|The beach at Wells-next-the-Sea|Watercolour on paper, 9 x 14 cm, 2010||
0707b3|My heart's core|Ink, wash and coloured pencil on book page||
070f9c|Under my skin|Ink on London A-Z page||
072370|Eyes|Ink on book page||
075d20|Tube riders|Victoria Line, 2011-03-14 09:30||
080861|Unsafe house|Ink wash, watercolour paper||
08151f|Knightsbridge, SW1|Ink and wash on paper, 9 x 14 cm, 2010||
084725|Houses, Battersea Power Station|Ink and wash on paper, 9 x 14 cm, 2010||
08dd2f|Open Book|coloured inks on book page<br/><br/>from the collection of K||
08ee45|Painting trees daily|Ink and wash on antique book page||
08ee8b|Deer Park Road, SW19|Ink and wash on handmade paper||
08eeb9|Hollow man|||
08ef63|Coat|Ink and wash on book page||
090148|The examined life|Pen and ink wash on paper 18 x 12 cm||
0979d9|Knitting mistake swatch|Ink and wash on book page||
09cf5e|Conical tree|Ink and wash on paper, 9 x 14 cm, 2010||
0a22ad|Was April 11th|||
0a22e1|Then they won't forgive me my age|Pen, wash and gouache on found page||
