t/c8b978|Durrington &amp; Amesbury Towers from Queenstown Road Station|Ink, wash, moleskine notebook
t/c26c54|Olympia, Kensington|Ink & wash, moleskine notebook, 2009
t/e9aaba|East from Television Centre|Marker pen on index card separator, 2007
t/3624c4|Car Showroom, Plough Lane, SW17|Ink &amp; wash on found book page, 2008
t/100b07|Gasometer, North Kensington|Ink &amp; wash on file separator, 2007
t/d81882|St Pauls Cathedral|Ink, moleskine notebook, 2016
t/c28d5f|London Skyline, February 2012|Pen &amp; wash, moleskine notebook. The Shard was under contruction.
t/009690|Amesbury Tower, Clapham|Pen, moleskine notebook
t/084725|Houses, Battersea Power Station|Ink &amp; wash, moleskine notebook, 2010
t/a690d9|Hammersmith seen from the Thames|Pen, ink, wash, moleskine notebook, 2013
t/dd22a5|North East from Television Centre|Marker pen on index card separator, 2007
t/d12e90|Three blocks of flats, London W10|Acrylic on board, 2008
t/00952a|Durrington Tower, Clapham|Ink, moleskine notebook
t/feed67|Rail bridge over river Wandle, SW17|Ink, wash &amp; gouache on index card separator
t/570358|Phipps Bridge Estate, Mitcham|Ink &amp; wash, 2008
t/08ee8b|Deer Park Road, SW19|Ink &amp; wash on handmade paper
t/8b5b46|Depot Road, White City|Marker pen &amp; wash on index card separator
t/e584b0|Orbit Tower, Olympic Park, E20|Ink on moleskine notebook, 2012
t/6c711f|West Brompton - West Kensington|Ink &amp; wash on moleskine notebook, 2012
t/200ee4|St. Pauls from the Thames|Ink on moleskine notebook, 2012
t/652547|Grafton Square, Clapham, SW4|Ink on moleskine notebook, 2007
t/300590|Car park, Tooting, SW17|Ink &amp; wash, 2009
t/2aeef6|Parked cars, Tooting, SW17|Ink &amp; wash on moleskine notebook, 2010
t/691159|Pylon and block of flats, Mitcham|Ink &amp; wash, 2008
t/037a60|Ingate Place, Battersea, SW8|Ink &amp; wash, moleskine notebook
t/08151f|Knightsbridge, SW1|Ink &amp; wash, moleskine notebook, 2010
t/6c65ea|Heathbrook Primary School, Clapham, SW8|Ink &amp; watercolour on moleskine notebook, 2010
t/60e0b6|Durrington &amp; Amesbury Towers at night, SW8|Ink &amp; wash on sheet music
t/318f80|Plough Lane, SW17|Ink &amp; wash on handmade paper, 2008
t/c26d52|Terraced houses, Tooting, SW17|Ink &amp; wash, moleskine notebook, 2009
t/54135f|Durrington &amp; Amesbury Towers, SW8|Ink on moleskine notebook, 2007
t/c57224|Smallwood Primary School, SW17|Ink &amp; watercolour, 2009
t/d2db1a|Grafton Square, SW4|Ink, moleskine sketchbook, 2007
t/10359b|Over Chelsea Bridge|Ink &amp; wash, moleskine notebook, 2010
t/944692|Television Centre, W12|Marker pen on index card separator, 2007
t/9f54e6|Pylon, Buildings, Cars, Mitcham|Ink &amp; wash, moleskine notebook, 2009
t/2d91a9|Battersea Park, SW11|Ink, moleskine notebook, 2008
t/3a7f24|Pylon at Phipps Bridge, CR4|Pen, ink &amp; wash on book page, 2008
t/95539b|Queenstown Road, SW8|Ink &amp; wash, moleskine notebook, 2010
t/ea1731|Plough Lane, SW17|Ink &amp; wash on found book page, 2008
t/651da2|House by the Thames at Hammersmith, W6|Pen &amp; ink wash, moleskine notebook, 2013
t/a7b2c7|Garret Park, SW17|Marker pen &amp; wash on index card separator, 2007
t/2dbee7|Morden Hall Park, SM4|Ink &amp; wash on book page, 2008
t/3aa52a|Grey Tooting, SW17|Ink wash on watercolour paper, 2008
t/fa96c1|Knightsbridge, SW1|Ink &amp; wash, moleskine notebook, 2010
t/c88211|Wandsworth Road, Sw4|Pen, moleskine notebook, 2007
t/f66b51|Grafton Square, SW4|In wash on book page, 2010
t/2d2775|Haydons Road, SW19|Ink on sheet music, 2009
t/ae5f60|Cars Tooting, SW17|Ten minute line drawing, 2009
t/f7b640|Waterside Way, SW17|Pen &amp; ink wash on book page, 2008
t/fd509e|Heathbrook Primary School, Clapham, SW8|Watercolour|2010
t/495975|North Street, Clapham|Ink wash on book page|2008
