f/4070717805|Circle Line (as a constellation in the night sky)|Ink on found paper.
f/4777884024|Durrington and Amesbury Towers from Queenstown Road Station|Ink, wash, moleskine notebook
f/3535957076|Olympia, Kensington|Ink & wash, moleskine notebook, 2009
f/3370756794|East from Television Centre|Marker pen on index card separator, 2007
f/3660981444|Phipps Bridge Estate, Mitcham|Ink and wash on found book page, 2008
f/5201988359|Gasometer, North Kensington|Ink and wash on file separator, 2007
f/25582639234|St Pauls Cathedral|Ink, moleskine notebook, 2016
f/6975294815|London Skyline, February 2012|Pen and wash, moleskine notebook. The Shard was under contruction.
f/3489699472|Amesbury Tower, Clapham|Pen, moleskine notebook
f/4580722469|Houses, Battersea Power Station|Ink and wash, moleskine notebook, 2010
f/8466632921|Hammersmith seen from the Thames|Pen, ink, wash, moleskine notebook, 2013
f/3369935525|North East from Television Centre|Marker pen on index card separator, 2007
f/3486592656|Three blocks of flats, London W10|Acrylic on board, 2008
f/3489699114|Durrington Tower, Clapham|Ink, moleskine notebook
f/3909021031|Rail bridge over river Wandle, SW17|Ink, wash and gouache on index card separator
f/3663135576|Phipps Bridge Estate, Mitcham|Ink and wash, 2008
f/2382950027|Deer Park Road, SW19|Ink and wash on handmade paper
f/1535859526|Depot Road, White City|Marker pen and wash on index card separator
f/7782892720|Orbit Tower, Olympic Park, E20|Ink on moleskine notebook, 2012
f/7003205919|West Brompton - West Kensington|Ink and wash on moleskine notebook, 2012
f/6914313956|St. Pauls from the Thames|Ink on moleskine notebook, 2012
f/3328517447|Grafton Square, Clapham, SW4|Ink on moleskine notebook, 2007
f/3643803024|Car park, Tooting, SW17|Ink and wash, 2009
f/4784320246|Parked cars, Tooting, SW17|Ink and wash on moleskine notebook, 2010
f/3664318809|Pylon and block of flats, Mitcham|Ink and wash, 2008
f/5184387680|Ingate Place, Battersea, SW8|Ink and wash, moleskine notebook
f/4580709663|Knightsbridge, SW1|Ink and wash, moleskine notebook, 2010
f/4956382698|Heathbrook Primary School, Clapham, SW8|Ink and watercolour on moleskine notebook, 2010
f/3445678262|Durrington and Amesbury Towers at night, SW8|Ink and wash on sheet music
f/3526463360|Plough Lane, SW17|Ink and wash on handmade paper, 2008
f/3535957330|Terraced houses, Tooting, SW17|Ink and wash, moleskine notebook, 2009
f/3444839263|Durrington and Amesbury Towers, SW8|Ink on moleskine notebook, 2007
f/3687150116|Smallwood Primary School, SW17|Ink and watercolour, 2009
f/3527843844|Deer Park Road, SW19|Ink and wash on handmade paper
f/3402816282|Grafton Square, SW4|Ink, moleskine sketchbook, 2007

