t/d82090|Page 102|Watercolour on London A-Z page
t/7227da|Whitburn Bay|Coloured ink on Newcastle A-Z page
t/8b5b08|In my heart's core|Ballpoint pen ink on London A-Z page
t/b8e5a4|The source of the M11|Collage, ink and coloured pencil on board|2007
t/f17c89|Page 35: Verdun|Gouache on antique map
t/9eb148|Tooting Common (black)|Indian ink on London A-Z page 109 [part of London common land (in black) series]
t/070f9c|Under my skin|Ink on London A-Z page
t/d43115|Barking Reach|Ink and watercolour on London A-Z page
t/a9fb78|Tottenham reservoirs|Ink and coloured pencil on London A-Z page
t/bfff52|Thames at Bermondsey|Ink, watercolour and gouache on London A-Z page
t/79a88b|London|Gouache on map
t/3246e9|Map rorschach|Ink, gouache, crayon on London A-Z page
t/c3c3c6|Goya, state 2|Black cont&eacute;, indian ink on map pages, (Newcastle A-Z 1988 edition)
t/d82d6c|Greenwich Peninsula|Watercolour on London A-Z page, pre Millennium Dome and O2
t/895683|Britain|Ink on found map
t/cb8bb7|The City|Gouache on London A-Z page
t/461cd3|Not wearing a glove on the hand|Ink, antique map, acetate
t/e0bccc|Mersea Island|Coloured ink on map
t/9928fb|Mont Dauphin et Port Vendres|Ink on vintage map
t/39bd5e|Paris from the Eiffel Tower|Photos, pencil, 1982
t/f6fe2a|You breath in... out...|Ink on page of London A-Z
t/d504b8|0=(M)|Ink on map page fragment
t/02e7b8|Secret passion ways, St Ives|Ink, wash, coloured pencil on found book page
t/d7e3e6|The Great Cambridge Road|Ink on London A-Z page
t/56c00f|Hounslow Isleworth Valentine|Ink, coloured pencil and wash on London A-Z page|2023
t/edc651|Plumstead, Gallions Reach|Ink on London A-Z page|

