||Wilfred Owen|1893|1918|25
||John Keats|1795|1821|25
t/1f0999|jpg|Egon Schiele|1890|1918|28|Ink on antique French military map
||Marie Curie|1867|1934|66
||Mozart|1756|1791|35
||May Neville|1893||
||Vincent Van Gogh|1853|1890|37
||Edward Thomas|1878|1917|39
||Kirsty MacColl|1959|2000|42
t/1dcd86|jpg|Alan Turing|1912|1954|41|Ink and wash on handmade paper
||Elvis Presley|1935|1977|42
||Rebecca Horn|1944|2024|80
||Joe Strummer|1952|2002|50
||&Eacute;douard Manet|1832|1883|51
||Jane Austen|1775|1817|41
||Derek Jarman|1942|1994|52
||Ian Dury|1942|2000|57
||Andy Warhol|1928|1987|58
t/fcebb3|jpg|Francisco Goya|1746|1828|82|Ink and black cont&eacute; crayon on A-Z page
t/5d9c5d|jpg|Rosemary Bryant|1929|1990|61|Ink wash on handmade paper
||Terry Hall|1959|2022|63
||Shane MacGowan|1957|2023|65
||Rosa Parks|1913|2005|92
||Benjamin Zephaniah|1958|2023|65
||Mark Rothko|1903|1970|66
||Francis Bacon|1909|1992|82
||Gordon Brown|1933|2021|88
||Pablo Picasso|1881|1973|91
||Martin Amis|1949|2023|73
t/f3ecfd|png|Diana Princess of Wales|1961|1997|36|Digital halftone image
||David Bowie|1947|2016|69
t/2b2831|jpg|Reginald Bryant|1887|1979|92|Graphite on cartridge paper
||Philip Guston|1913|1980|66
t/a77d69|jpg|Georg Cantor|1845|1918|72|Pen and ink wash on handmade paper
||John Cage|1912|1992|79
t/49d36a|jpg|Lucian Freud|1922|2011|88|Ink wash on book page
t/0d9c0b|jpg|Napol&eacute;on|1769|1821|51|Pen on margin of antique map
||Marc Chagall|1887|1985|97
t/21138a|jpg|Anton Chekhov|1860|1904|44|Ink wash on book page
t/4c44c7|jpg|Maxim Gorky|1868|1936|68|Ink wash on book page
t/322c77|jpg|Cha&iuml;m Soutine|1893|1943|50|Ink wash on handmade paper
t/352bb5|jpg|Alfr&eacute;d Haar|1885|1933|47
t/6b1509|jpg|Mark Churchill|1935|2011|76|Acrylic on board
||John Cage|1912|1992|79
t/db7822|jpg|Diego Vel&aacute;zquez|1599|1660|61|Ink and wash on moleskine notebook
t/c47aeb|jpg|Joseph Conrad|1857|1924|66|Pen and ink wash on handmade paper
t/817d0a|jpg|Henri Guardier-Brzeska|1891|1915|23|Pen and ink wash on moleskine notebook
t/65b3c2|jpg|Egon Schiele|1890|1918|28|Ink book page|2012
t/ead289|jpg|Rosemary Bryant|1929|1990|61|Ink on book page|2008
t/f92c63|jpg|Max Weber|1864|1920|56|Ink wash|2019
t/990ab3|jpg|Louise Bourgeois|1911|2010|98|Ink on book pages|2025
