Wilfred Owen,1893,1918,25
John Keats,1795,1821,25
Egon Schiele,1890,1918,28,P
Marie Curie,1867,1934,66
Mozart,1756,1791,35
May Neville,1893,
Vincent Van Gogh,1853,1890,37
Edward Thomas,1878,1917,39
Kirsty MacColl,1959,2000,42
Alan Turing,1912,1954,41,P
Elvis Presley,1935,1977,42
Rebecca Horn,1944,2024,80
Joe Strummer,1952,2002,50
&Eacute;douard Manet,1832,1883,51
Jane Austen,1775,1817,41
Derek Jarman,1942,1994,52
Ian Dury,1942,2000,57
Andy Warhol,1928,1987,58
Francisco Goya,1746,1828,82,P
Rosemary Brown,1929,1990,61,P
Terry Hall,1959,2022,63
Shane MacGowan,1957,2023,65
Rosa Parks,1913,2005,92
Benjamin Zephaniah,1958,2023,65
Mark Rothko,1903,1970,66
Francis Bacon,1909,1992,82
Gordon Brown,1933,2021,88,P
Pablo Picasso,1881,1973,91
Martin Amis,1949,2023,73
Diana Princess of Wales,1961,1997,36
David Bowie,1947,2016,69
Reginald Bryant,1887,1979,92,P
Philip Guston,1913,1980,66
Georg Cantor,1845,1918,72,P
John Cage,1912,1992,79
Lucian Freud,1922,2011,88,P
Napoli&eacute;on,1769,1821,51,P
Marc Chagall,1887,1985,97,P
Anton Chekhov,1860,1904,44,P
Maxim Gorky,1868,1936,68,P
Cha&iuml;m Soutine,1893,1943,50
Alfr&eacute;d Haar,1885,1933,47
Mark Churchill,1935,2011,76
John Cage,1912,1992,79
